MainDTN,ChE30M,ChERM,ChE30,MDTN_R,ChEBM,MDTN_B,NSCh2pD,NFCh30m,TotCha,geometry,corridor_name
23.47,0.0,8.75,11.94,16.48,3.18,6.99,9.0,1.0,10.0,"POLYGON ((23.286867529740338 55.91402645968664, 23.255005186782675 56.13227670125147, 23.66629827020973 56.148681467905, 23.695909219312533 55.930339490258, 23.286867529740338 55.91402645968664))",V. Matulionio g. Route (Norkūnai)
0.38,0.0,0.07,0.26,0.11,0.19,0.27,1.0,1.0,2.0,"POLYGON ((26.77695433881042 66.86487863289395, 26.759689630086566 67.09144170313667, 27.32802403162296 67.09751699541178, 27.340977830394642 66.87089786694834, 26.77695433881042 66.86487863289395))",Pyhäntie Corridor (Kemijärvi)
1.37,0.0,0.06,0.81,0.09,0.75,1.28,1.0,1.0,2.0,"POLYGON ((-4.532811935228593 40.80389013532699, -4.663186692447712 41.00538566627942, -4.394242301185188 41.10313865557393, -4.264610830145832 40.90134957371368, -4.532811935228593 40.80389013532699))",Motorway Autopista del Noroeste Corridor (Sangarcía)
2.42,0.0,1.26,1.37,2.18,0.11,0.24,2.0,1.0,3.0,"POLYGON ((21.734713992909917 55.40115742104163, 21.69479067525915 55.61896987251213, 22.10009060383394 55.63995950389384, 22.137835392661426 55.42203215018294, 21.734713992909917 55.40115742104163))",Motorway A1 Corridor (Skerdynai)
0.69,0.0,0.0,0.46,0.0,0.46,0.69,0.0,1.0,1.0,"POLYGON ((1.5882060124087198 47.04960016754269, 1.4666350117538 47.255256150200616, 1.7809803279364576 47.33477729499678, 1.9014233433622667 47.12881734079003, 1.5882060124087198 47.04960016754269))",Motorway A 85 Corridor (Val-Fouzon)
0.23,0.0,0.16,0.16,0.23,0.0,0.0,1.0,1.0,2.0,"POLYGON ((25.951565831233708 58.63015657491321, 25.933201010640364 58.84941778593686, 26.37575722276267 58.85792128807591, 26.39150572618244 58.63860701098581, 25.951565831233708 58.63015657491321))",Tallinn — Tartu — Võru — Luhamaa Route (Jõgeva County)
72.19,0.0,12.87,38.33,24.55,25.46,47.65,13.0,3.0,16.0,"POLYGON ((8.701739942556628 48.58304599635056, 8.607766101990887 48.794826625192385, 8.94288957345434 48.85405534217844, 9.035475343907086 48.64202863991722, 8.701739942556628 48.58304599635056))",Motorway A 81 Corridor (Althengstett)
64.64,0.0,10.68,42.96,16.34,32.28,48.3,9.0,3.0,12.0,"POLYGON ((6.770608655962207 46.604320232774135, 6.672107589217133 46.81523113714253, 6.991256598856669 46.880207780437146, 7.088521145563099 46.66904622717989, 6.770608655962207 46.604320232774135))",Motorway A12 Corridor (Henniez)
4.68,0.0,0.88,3.13,1.32,2.25,3.37,1.0,1.0,2.0,"POLYGON ((24.795299155735698 45.62969935945005, 24.776638462113254 45.8505781777446, 25.10348880168639 45.86275828502852, 25.120722380378744 45.64183199052198, 24.795299155735698 45.62969935945005))",Strada Principală Route (Săsciori)
88.37,0.0,39.31,59.77,57.71,20.46,30.67,29.0,2.0,31.0,"POLYGON ((-0.885988994088609 44.698875593667026, -1.011876725916768 44.902783618000676, -0.7160320776124264 44.98957634934416, -0.5911067559644062 44.785365569998326, -0.885988994088609 44.698875593667026))",Rocade Extérieure Highway Corridor (Martignas-sur-Jalle)
